# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 425K of event 'LLC-load-misses'
# Event count (approx.): 71882401
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
     0.01%  GC Thread#22     libjvm.so            [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.01%  G1 Refine#16     libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.01%  GC Thread#7      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.01%  G1 Refine#19     libjvm.so            [.] OtherRegionsTable::add_reference
     0.01%  G1 Refine#10     libjvm.so            [.] OtherRegionsTable::add_reference
     0.01%  GC Thread#15     libjvm.so            [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.01%  DPU_POLL_0000    [kernel.kallsyms]    [k] apic_timer_interrupt
     0.01%  GC Thread#3      libjvm.so            [.] G1ScanHRForRegionClosure::scan_heap_roots
     0.01%  G1 Refine#11     libjvm.so            [.] OtherRegionsTable::add_reference
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::update_ifg
     0.01%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.01%  G1 Refine#11     libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.01%  GC Thread#19     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.01%  G1 Refine#4      libjvm.so            [.] G1HotCardCache::insert
     0.01%  C2 CompilerThre  [kernel.kallsyms]    [k] get_page_from_freelist
     0.01%  C2 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.01%  C2 CompilerThre  libjvm.so            [.] JVMState::interpreter_frame_size
     0.01%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::bottom_type
     0.01%  GC Thread#0      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks
     0.01%  java             perf-19708.map       [.] void pim.algorithm.TreeWriter.verifyLargePIMTree(pim.algorithm.TreeNode)
     0.01%  G1 Refine#12     libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.01%  G1 Refine#20     libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::is_uncommon
     0.01%  G1 Refine#10     libjvm.so            [.] G1RemSet::refine_card_concurrently
     0.01%  java             libjvm.so            [.] InstanceKlass::find_method_index
     0.01%  GC Thread#1      libjvm.so            [.] G1ScanHRForRegionClosure::scan_heap_roots
